V4_seq_id,Temp_range,Process_type,ind_text,City,WWTP_ID
V4-AU-01-A,moderate,"C,N,DN",very_low,City25,AU-01
V4-AU-01-B,moderate,"C,N,DN",very_low,City25,AU-01
V4-AU-02-A,moderate,"C,N,DN",very_low,City25,AU-02
V4-AU-02-B,moderate,"C,N,DN",very_low,City25,AU-02
V4-AU-03-A,moderate,"C,N,DN,P",very_low,City26,AU-03
V4-AU-03-B,moderate,"C,N,DN,P",very_low,City26,AU-03
V4-AU-04-A,moderate,"C,N,DN",very_low,City27,AU-04
V4-AU-04-B,moderate,"C,N,DN",very_low,City27,AU-04
V4-AU-05-A,moderate,"C,N,DN,P",medium,City28,AU-05
V4-AU-05-B,moderate,"C,N,DN,P",medium,City28,AU-05
V4-AU-06-A,moderate,"C,N,DN",very_low,City29,AU-06
V4-AU-06-B,moderate,"C,N,DN",very_low,City29,AU-06
V4-AU-07-A,moderate,"C,N,DN",very_low,City30,AU-07
V4-AU-07-B,moderate,"C,N,DN",very_low,City30,AU-07
V4-AU-08-A,moderate,"C,N,DN",low,City31,AU-08
V4-AU-08-B,moderate,"C,N,DN",low,City31,AU-08
V4-AU-09-A,moderate,"C,N,DN",very_low,City32,AU-09
V4-AU-09-B,moderate,"C,N,DN",very_low,City32,AU-09
V4-AU-10-A,moderate,"C,N,DN",low,City33,AU-10
V4-AU-10-B,moderate,"C,N,DN",low,City33,AU-10
V4-AU-11-A,moderate,"C,N,DN",none,City34,AU-11
V4-AU-11-B,moderate,"C,N,DN",none,City34,AU-11
V4-AU-12-A,moderate,"C,N,DN,P",none,City35,AU-12
V4-AU-12-B,moderate,"C,N,DN,P",none,City35,AU-12
V4-AU-13-A,,"C,N,DN",none,City36,AU-13
V4-AU-13-B,,"C,N,DN",none,City36,AU-13
V4-AU-14-A,,"C,N,DN,P",none,City37,AU-14
V4-AU-14-B,,"C,N,DN,P",none,City37,AU-14
V4-AU-16-A,,"C,N,DN,P",none,City38,AU-16
V4-AU-16-B,,"C,N,DN,P",none,City38,AU-16
V4-AU-17-A,,"C,N,DN,P",none,City39,AU-17
V4-AU-17-B,,"C,N,DN,P",none,City39,AU-17
V4-AU-18-A,,"C,N,DN",none,City40,AU-18
V4-AU-18-B,,"C,N,DN",none,City40,AU-18
V4-AU-19-A,,"C,N,DN",none,City40,AU-19
V4-AU-19-B,,"C,N,DN",none,City40,AU-19
V4-AU-21-A,moderate,C,very_low,City41,AU-21
V4-AU-21-B,moderate,C,very_low,City41,AU-21
V4-AU-22-A,low,"C,N,DN",very_low,City42,AU-22
V4-AU-22-B,low,"C,N,DN",very_low,City42,AU-22
V4-AU-23-A,low,C,very_low,City43,AU-23
V4-AU-23-B,low,C,very_low,City43,AU-23
V4-AU-24-A,,"C,N,DN",low,City44,AU-24
V4-AU-24-B,,"C,N,DN",low,City44,AU-24
V4-AU-25-A,moderate,"C,N,DN",,City45,AU-25
V4-AU-25-B,moderate,"C,N,DN",,City45,AU-25
V4-AU-26-A,moderate,"C,N,DN",,City45,AU-26
V4-AU-26-B,moderate,"C,N,DN",,City45,AU-26
V4-AU-27-A,low,"C,N",,City45,AU-27
V4-AU-27-B,low,"C,N",,City45,AU-27
V4-AU-28-A,low,C,,City45,AU-28
V4-AU-28-B,low,C,,City45,AU-28
V4-AU-29-A,low,C,,City45,AU-29
V4-AU-29-B,low,C,,City45,AU-29
V4-AU-30-A,moderate,C,,City45,AU-30
V4-AU-30-B,moderate,C,,City45,AU-30
V4-AU-31-A,low,"C,N,DN",very_low,City46,AU-31
V4-AU-31-B,low,"C,N,DN",very_low,City46,AU-31
V4-AU-32-A,high,"C,N,DN",very_low,City47,AU-32
V4-AU-32-B,high,"C,N,DN",very_low,City47,AU-32
V4-AU-33-A,high,"C,N,DN",very_low,City47,AU-33
V4-AU-33-B,high,"C,N,DN",very_low,City47,AU-33
V4-AU-34-A,high,"C,N,DN,P",very_low,City48,AU-34
V4-AU-34-B,high,"C,N,DN,P",very_low,City48,AU-34
V4-AU-35-A,moderate,"C,N,DN",very_low,City48,AU-35
V4-AU-35-B,moderate,"C,N,DN",very_low,City48,AU-35
